system,mapping_type,original_name,generic_id
ZC,process,systemd,1001
ZC,process,dbus-daemon,1002
ZC,process,rsyslogd,1003
ZC,process,kernel,1004
ZC,process,udisksd,1005
ZC,process,NetworkManager,1051
ZC,machine,ZC1,man1
ZC,machine,ZC2,man2
ES,object,UNBOUND (RPC_Server),ID1
ES,object,Vehicle,ID2
ES,object,VOBC,ID3
ES,object,ZC,ID4
ES,object,RIO,ID5
ES,object,ACE-1,ID6
ES,object,ACE-2,ID7
ES,object,ACE-3,ID8
ES,object,ACE-4,ID9
ATS,object,AMC3SServer,2319
ATS,object,AOACol,1943
ATS,object,ATC::FaultCodeReport,4042
ATS,object,ATC::IATCBase,4041
ATS,object,ATC::ICDCmd,4994
ATS,object,ATC::Segment,4043
ATS,object,ATC::VOBC::CoupleCmd,4046
ATS,object,ATC::VOBC::DestinationCmd,4056
ATS,object,ATC::VOBC::DwellCmd,4058
ATS,object,ATC::VOBC::EBResetCmd,4050
ATS,object,ATC::VOBC::HoldTrainCmd,4057
ATS,object,ATC::VOBC::JogCmd,4064
ATS,object,ATC::VOBC::MDCmd,4047
ATS,object,ATC::VOBC::NextPlatfCmd,4060
ATS,object,ATC::VOBC::OpenDoorsCmd,4051
ATS,object,ATC::VOBC::PISPASInfoCmd,4995
ATS,object,ATC::VOBC::PowerSectionCmd,5233
ATS,object,ATC::VOBC::ReducedRateCmd,4048
ATS,object,ATC::VOBC::RequestRunTypeCmd,4055
ATS,object,ATC::VOBC::ResumeMotionCmd,4052
ATS,object,ATC::VOBC::StationOCCmd,4065
ATS,object,ATC::VOBC::StationRestrictionCmd,4053
ATS,object,ATC::VOBC::StationSkipCmd,4054
ATS,object,ATC::VOBC::StopCmd,4045
ATS,object,ATC::VOBC::StorageModeCmd,4049
ATS,object,ATC::VOBC::TermPlatfCmd,4061
ATS,object,ATC::VOBC::TextMsgCmd,4722
ATS,object,ATC::VOBC::TrainLabelCmd,4059
ATS,object,ATC::VOBC::TrainStatusReport,4044
ATS,object,ATC::VOBC::VOBCResetCmd,4063
ATS,object,ATC::VOBC::VOBCSwitchoverCmd,4062
ATS,object,ATC::VOBC::VarianceUpdateCmd,4721
ATS,object,ATC::VOBC::VehicleStatus,4514
ATS,object,ATC::ZC::ATSControlCmd,4070
ATS,object,ATC::ZC::BlockCancelACBPrepReset,5254
ATS,object,ATC::ZC::BlockConfirmACBPrepReset,5255
ATS,object,ATC::ZC::BlockInitiateACBPrepReset,5256
ATS,object,ATC::ZC::BlockStatusReport,4102
ATS,object,ATC::ZC::CallonRemoveCmd,4073
ATS,object,ATC::ZC::CallonSetSecureCmd,4072
ATS,object,ATC::ZC::CancelTrackCmdSecure,5039
ATS,object,ATC::ZC::CancelTrackTSRSecure,5040
ATS,object,ATC::ZC::ConfirmTrackCmdSecure,5042
ATS,object,ATC::ZC::ConfirmTrackTSRSecure,5043
ATS,object,ATC::ZC::ESDStatusReport,4103
ATS,object,ATC::ZC::InitiateTrackCmdSecure,5045
ATS,object,ATC::ZC::InitiateTrackTSRSecure,5046
ATS,object,ATC::ZC::NCOStatusReport,4097
ATS,object,ATC::ZC::PlatformDoorStatusReport,4100
ATS,object,ATC::ZC::PortalStatusReport,4104
ATS,object,ATC::ZC::RIORemoteResetCmd,5059
ATS,object,ATC::ZC::RouteCancelCmdSecure,4068
ATS,object,ATC::ZC::RouteCancelCmdSecureCancel,5033
ATS,object,ATC::ZC::RouteCancelCmdSecureConfirm,5034
ATS,object,ATC::ZC::RouteCancelCmdSecureInitiate,5035
ATS,object,ATC::ZC::RouteSetCmd,4067
ATS,object,ATC::ZC::RouteStatusReport,4099
ATS,object,ATC::ZC::RouteVerifyCmd,4082
ATS,object,ATC::ZC::SignalBlockSecureCmd,4075
ATS,object,ATC::ZC::SignalStatusReport,4094
ATS,object,ATC::ZC::SignallingModeStatusReport,4101
ATS,object,ATC::ZC::StatusReport,4105
ATS,object,ATC::ZC::SwitchBlockSecureCmd,4076
ATS,object,ATC::ZC::SwitchManualMoveSecureCmd,4074
ATS,object,ATC::ZC::SwitchModeCmd,4071
ATS,object,ATC::ZC::SwitchOperatorLockCmd,4078
ATS,object,ATC::ZC::SwitchStatusReport,4095
ATS,object,ATC::ZC::TrackCancelMDZSecure,5038
ATS,object,ATC::ZC::TrackCmdSecure,4083
ATS,object,ATC::ZC::TrackConfirmMDZSecure,5041
ATS,object,ATC::ZC::TrackInitiateMDZSecure,5044
ATS,object,ATC::ZC::TrackMDZSecure,4085
ATS,object,ATC::ZC::TrackTSRSecure,4084
ATS,object,ATC::ZC::TrackZonesStatusReport,4093
ATS,object,ATC::ZC::TrainStatusReport,4091
ATS,object,ATC::ZC::WaysideHardwareStatusReport,4106
ATS,object,ATC::ZC::ZCCmd,4763
ATS,object,ATC::ZC::ZCReport,4108
ATS,object,ATC::ZC::ZCResetDeviceCmd,4466
